Timestamp,Source,Level,Line
16:53:20.3940,Advertising Interval,Normal,"42.92 ms"
16:53:20.5280,RSSI,Normal,"-72 dBm"
16:53:20.5280,Advertising Interval,Normal,"134.31 ms"
16:53:20.5670,RSSI,Normal,"-77 dBm"
16:53:20.5680,Advertising Interval,Normal,"39.57 ms"
16:53:20.6140,RSSI,Normal,"N/A"
16:53:20.6140,Advertising Interval,Normal,"46.21 ms"
16:53:20.6600,RSSI,Normal,"-67 dBm"
16:53:20.6600,Advertising Interval,Normal,"46.15 ms"
16:53:20.6980,RSSI,Normal,"-75 dBm"
16:53:20.6990,Advertising Interval,Normal,"38.67 ms"
16:53:20.7450,RSSI,Normal,"-73 dBm"
16:53:20.7450,Advertising Interval,Normal,"46.83 ms"
16:53:20.7950,RSSI,Normal,"-66 dBm"
16:53:20.7950,Advertising Interval,Normal,"49.55 ms"
16:53:20.8870,RSSI,Normal,"-67 dBm"
16:53:20.8870,Advertising Interval,Normal,"92.57 ms"
16:53:20.9690,RSSI,Normal,"-69 dBm"
16:53:20.9690,Advertising Interval,Normal,"81.17 ms"
16:53:21.0170,RSSI,Normal,"-67 dBm"
16:53:21.0170,Advertising Interval,Normal,"47.85 ms"
16:53:21.0620,RSSI,Normal,"-75 dBm"
16:53:21.0620,Advertising Interval,Normal,"45.50 ms"
16:53:21.1100,RSSI,Normal,"-69 dBm"
16:53:21.1100,Advertising Interval,Normal,"47.78 ms"
16:53:21.1560,RSSI,Normal,"-70 dBm"
16:53:21.1570,Advertising Interval,Normal,"46.61 ms"
16:53:21.1970,RSSI,Normal,"-78 dBm"
16:53:21.1970,Advertising Interval,Normal,"40.96 ms"
16:53:21.2480,RSSI,Normal,"-71 dBm"
16:53:21.2480,Advertising Interval,Normal,"50.63 ms"
16:53:21.2880,RSSI,Normal,"-78 dBm"
16:53:21.2880,Advertising Interval,Normal,"40.38 ms"
16:53:21.3380,RSSI,Normal,"-72 dBm"
16:53:21.3380,Advertising Interval,Normal,"49.99 ms"
16:53:21.3870,RSSI,Normal,"-77 dBm"
16:53:21.3870,Advertising Interval,Normal,"48.53 ms"
16:53:21.4320,RSSI,Normal,"-80 dBm"
16:53:21.4320,Advertising Interval,Normal,"45.00 ms"
16:53:21.5310,RSSI,Normal,"-78 dBm"
16:53:21.5310,Advertising Interval,Normal,"99.07 ms"
16:53:21.5770,RSSI,Normal,"-71 dBm"
16:53:21.5770,Advertising Interval,Normal,"45.76 ms"
16:53:21.6220,RSSI,Normal,"-69 dBm"
